Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1422884,Der Struwwelpeter,Heinrich Hoffmann,"Hoffmann, Heinrich",,"=""3480063349""","=""9783480063345""",0,3.80,Esslinger Verlag Schreiber,Hardcover,20,1992,1845,2023/08/27,2023/08/27,,,read,,,,1,0
35743,The Tin Drum,Günter Grass,"Grass, Günter",Ralph Manheim,"=""0099483505""","=""9780099483502""",0,3.95,Vintage,Paperback,580,2005,1959,2015/04/12,2015/03/04,,,read,,,,1,0
7845089,Pan Cogito,Zbigniew Herbert,"Herbert, Zbigniew",,"=""8361298045""","=""9788361298045""",0,4.34,Wydawnictwo a5,Paperback,96,2008,1974,2023/08/26,2023/08/26,,,read,,,,1,0
1176129,Cesarz,Ryszard Kapuściński,"Kapuściński, Ryszard",,"=""8307001560""","=""9788307001562""",0,4.08,Czytelnik,Hardcover,152,1980,1978,2023/08/25,2017/02/23,,,read,,,,1,0
26030742,Sharp Ends,Joe Abercrombie,"Abercrombie, Joe",,"=""031639081X""","=""9780316390811""",0,4.11,Orbit,Hardcover,304,2016,2016,2023/08/21,2023/08/17,,,read,,,,1,0
49127599,What Cats Want: An Illustrated Guide for Truly Understanding Your Cat,Yuki Hattori,"Hattori, Yuki",,"=""1526623064""","=""9781526623065""",0,4.11,Bloomsbury Publishing,Hardcover,160,2020,2015,2023/08/18,2023/08/11,,,read,,,,1,0
54765614,The War of the Poor,Éric Vuillard,"Vuillard, Éric",Mark Polizzotti,"=""""","=""""",0,3.39,Other Press,Kindle Edition,112,2020,2019,2023/08/17,2023/04/23,,,read,,,,1,0
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""1594205078""","=""9781594205071""",0,4.37,Penguin Press,Hardcover,790,2017,2017,,2023/08/17,to-read,to-read (#675),to-read,,,,0,0
327,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""0805073698""","=""9780805073690""",0,4.17,Holt Paperbacks,Paperback,560,2004,1993,,2023/08/17,to-read,to-read (#674),to-read,,,,0,0
13554058,The Wandering Earth,Liu Cixin,"Cixin, Liu",Holger Nahm,"=""""","=""""",0,4.14,"Beijing Guomi Digital Technology Co., Ltd.",Kindle Edition,45,2012,2000,,2023/07/05,,,read,,,,1,0
